z in mm,x in mm,y in mm
660.0,-1.0064284061830968,-2.362585835956698
659.372026641294,-1.1293447438125865,-2.6295039219402496
658.744053282588,-1.1118973812823458,-2.6279087949172983
658.116079923882,-1.172666555238228,-2.739884833992646
657.488106565176,-1.173977754900945,-2.7337426956706032
656.86013320647,-1.195827452711691,-2.7389750741593466
656.232159847764,-1.1687257428445228,-2.7355073790328914
655.6041864890581,-1.1731418373888003,-2.742166000629317
654.976213130352,-1.1727952951113219,-2.7147427098351034
654.348239771646,-1.1663927585588265,-2.713452662398279
653.7202664129401,-1.1693949026418744,-2.7230405682605556
653.0922930542341,-1.1649900938374806,-2.7188564685706735
652.464319695528,-1.16955162257122,-2.7412770804126345
651.8363463368221,-1.162088923891091,-2.7244743622947545
651.2083729781161,-1.1619830400639857,-2.7261096963124407
650.5803996194101,-1.1673551206880672,-2.7332359155905483
649.9524262607041,-1.1725412417852996,-2.7345953138628527
649.3244529019981,-1.1709708871024223,-2.724075226916534
648.6964795432921,-1.1733499112639685,-2.714229652771917
648.0685061845861,-1.187797730305347,-2.717387660322774
647.4405328258802,-1.1731184201056934,-2.6870604767587563
646.8125594671741,-1.1739604722519055,-2.706960650111044
646.1845861084681,-1.1793875621340855,-2.6787726252126727
645.5566127497622,-1.1759234357768429,-2.6744399437928355
644.9286393910561,-1.206260948493074,-2.621732381724873
644.3006660323501,-1.2180088761749077,-2.6292162227138793
643.6726926736442,-1.218216893159455,-2.6237881084460635
643.0447193149381,-1.221841102668095,-2.6051231414484914
642.4167459562321,-1.2432712947646627,-2.6138250115118216
641.7887725975262,-1.2452363570082103,-2.6048839569618245
641.1607992388201,-1.2422192426795218,-2.6178437225680526
640.5328258801142,-1.2529615001115157,-2.6319766345195807
639.9048525214082,-1.259100059352009,-2.6346791806041914
639.2768791627022,-1.2541618365390317,-2.5952362687510964
638.6489058039962,-1.2580727757760326,-2.6379431691749264
638.0209324452902,-1.2561411131565503,-2.631881175675152
637.3929590865843,-1.2670281994900905,-2.622150628858947
636.7649857278782,-1.2577884309945189,-2.638743620493012
636.1370123691722,-1.2479461419969775,-2.651050395153589
635.5090390104663,-1.2546472153750032,-2.634421271075328
634.8810656517602,-1.2508030920614315,-2.6233383339322742
634.2530922930542,-1.265713941763709,-2.624230885502187
633.6251189343483,-1.2842625003478385,-2.6362606135901654
632.9971455756422,-1.2792162800512858,-2.630390962207522
632.3691722169362,-1.2514568299145006,-2.6550145977071704
631.7411988582303,-1.2926484081453682,-2.6373124824939964
631.1132254995242,-1.2746363006121026,-2.6671232374801783
630.4852521408183,-1.2879146755946627,-2.623825904923414
629.8572787821123,-1.2988829994467128,-2.639575046398308
629.2293054234062,-1.3150732374289547,-2.6323878519032045
628.6013320647003,-1.3029664827899514,-2.653552936736033
627.9733587059943,-1.3109402094752973,-2.665679236516728
627.3453853472884,-1.2962219353627675,-2.659013333350832
626.7174119885823,-1.2894972849511646,-2.6778667914825967
626.0894386298763,-1.3020575750882268,-2.660446797976327
625.4614652711704,-1.3113746504872756,-2.6689832237629703
624.8334919124643,-1.2913283950417709,-2.6532819255721134
624.2055185537583,-1.3143530274625355,-2.651007359772135
623.5775451950524,-1.304045675796127,-2.6497265784021033
622.9495718363463,-1.2936264623435612,-2.6545917541853004
622.3215984776404,-1.321096790004813,-2.644486565557119
621.6936251189344,-1.3022783891455278,-2.659427670940355
621.0656517602283,-1.3175680159208623,-2.662300807390618
